Time (s),Order,Entropy
0.0,0.47723,0.61086
0.08333333333333333,0.68879,0.5004
0.16666666666666666,0.63977,0.61086
0.25,0.84566,0.69315
0.3333333333333333,0.98856,0.89795
0.4166666666666667,0.99571,0.80182
0.5,0.99083,0.61086
0.5833333333333334,0.99338,0.69315
0.6666666666666666,0.98994,0.94335
0.75,0.99515,1.05492
0.8333333333333334,0.99141,0.94045
0.9166666666666666,0.98485,0.5004
1.0,0.99708,0.0
1.0833333333333333,0.98851,0.0
1.1666666666666667,0.98665,0.32508
1.25,0.988,0.67301
1.3333333333333333,0.98995,0.61086
1.4166666666666667,0.98498,0.0
1.5,0.99047,0.32508
1.5833333333333333,0.98889,0.61086
1.6666666666666667,0.99337,1.16828
1.75,0.98976,1.31383
1.8333333333333333,0.99159,1.02965
1.9166666666666667,0.98779,0.5004
2.0,0.99237,0.32508
2.0833333333333335,0.99504,0.63903
2.1666666666666665,0.97603,0.67301
2.25,0.93001,0.61086
2.3333333333333335,0.94216,0.32508
2.4166666666666665,0.93619,0.32508
2.5,0.96002,0.32508
2.5833333333333335,0.95128,0.5004
2.6666666666666665,0.93668,0.69315
2.75,0.97565,0.89795
2.8333333333333335,0.97038,1.02965
2.9166666666666665,0.96569,0.89795
3.0,0.98463,0.5004
3.0833333333333335,0.96749,0.80182
3.1666666666666665,0.97829,0.61086
3.25,0.99329,0.80182
3.3333333333333335,0.99067,1.02965
3.4166666666666665,0.99137,0.5004
3.5,0.99164,0.32508
3.5833333333333335,0.99435,0.0
3.6666666666666665,0.99245,0.0
3.75,0.99712,0.32508
3.8333333333333335,0.98494,0.80182
3.9166666666666665,0.99158,1.05492
4.0,0.99176,0.94335
4.083333333333333,0.99364,0.61086
4.166666666666667,0.99374,0.32508
4.25,0.98885,0.32508
4.333333333333333,0.99058,0.32508
4.416666666666667,0.99267,0.67301
4.5,0.9976,0.61086
4.583333333333333,0.98111,0.0
4.666666666666667,0.9965,0.5004
4.75,0.9918,0.67301
4.833333333333333,0.99699,0.80182
4.916666666666667,0.98963,0.94335
5.0,0.9948,0.67301
