Time (s),Order,Entropy
1,0.22008,0.19852
2,0.2389,0.19852
3,0.52284,0.19852
4,0.75184,0.19852
5,0.93551,0.42271
6,0.96068,0.5004
7,0.96613,0.56234
8,0.96273,0.61086
9,0.95756,0.67301
10,0.9629,0.67301
11,0.98769,0.68814
12,0.99195,0.67301
13,0.993,0.84511
14,0.99717,0.79099
15,0.9973,0.80182
16,0.99809,0.81881
17,0.99667,0.73059
18,0.99516,0.61287
19,0.99367,0.68744
20,0.99667,0.87113
21,0.99634,0.87113
22,0.99743,1.07005
23,0.99724,1.16112
24,0.99783,1.30401
25,0.99455,1.30546
26,0.99678,1.33509
27,0.99669,1.31955
28,0.99728,1.27504
29,0.99742,1.2376
30,0.99744,1.10974
31,0.99624,0.91429
32,0.9992,0.82607
33,0.99777,0.51819
34,0.99514,0.3944
35,0.99606,0.19852
36,0.99768,0.51819
37,0.99709,0.42271
38,0.99401,0.42271
39,0.9983,0.5004
40,0.99755,0.64745
41,0.99814,0.68814
42,0.997,0.68814
43,0.99805,0.67301
44,0.99861,0.61086
45,0.99895,0.5004
46,0.99908,0.42271
47,0.99889,0.42271
48,0.99756,0.19852
49,0.99707,0.32508
50,0.99606,0.42271
51,0.9972,0.70835
52,0.99593,0.82607
53,0.99516,0.82607
54,0.99695,0.99893
55,0.99768,1.25805
56,0.99678,1.33509
57,0.99568,1.37623
58,0.99467,1.37623
59,0.99813,1.24878
60,0.99776,1.24878
61,0.9983,1.07005
62,0.99872,0.96726
63,0.99551,0.79099
64,0.99573,0.79099
65,0.99815,0.5004
66,0.99344,0.61287
67,0.99716,0.81881
68,0.99574,0.81881
69,0.9965,0.73059
70,0.99818,0.92651
71,0.99639,0.85569
72,0.99864,0.68814
73,0.99812,0.67301
74,0.99724,0.56234
75,0.99817,0.56234
76,0.99769,0.42271
77,0.9977,0.19852
78,0.99903,0.19852
79,0.99537,0.19852
80,0.99759,0
81,0.9982,0
82,0.99913,0.51819
83,0.99731,0.82607
84,0.99601,0.82607
85,0.99688,1.03311
86,0.99763,1.09406
87,0.99897,1.18728
88,0.99648,1.16739
89,0.99764,1.10589
90,0.99548,1.1359
91,0.99733,1.10589
92,0.99443,1.01823
93,0.99775,0.85569
94,0.99855,0.85569
95,0.9971,0.67301
96,0.99682,0.64745
97,0.99777,0.82372
98,0.99689,1.07005
99,0.997,0.91429
100,0.99703,0.93764
101,0.99601,1.07005
102,0.9971,1.10589
103,0.9964,1.01823
104,0.99781,0.82372
105,0.99769,0.68744
106,0.99747,0.61287
107,0.99606,0.42271
108,0.99784,0.19852
109,0.99893,0
110,0.9972,0
111,0.9982,0
112,0.99694,0
113,0.99583,0.32508
114,0.99753,0.42271
115,0.99765,0.42271
116,0.99788,0.5004
117,0.99745,0.69315
118,0.99471,0.85569
119,0.99607,1.01823
120,0.99642,1.06274
121,0.99632,0.98194
122,0.99747,0.98194
123,0.99876,0.98194
124,0.99621,0.61086
125,0.99804,0.64745
126,0.99908,0.67301
127,0.99821,0.67301
128,0.99734,0.68814
129,0.99641,1.09406
130,0.99603,1.09406
131,0.99816,1.09406
132,0.99887,1.31383
133,0.9962,1.19355
134,0.99868,1.19355
135,0.99589,1.16828
136,0.99882,0.99893
137,0.99893,0.73059
138,0.99586,0.61287
139,0.99642,0.3944
140,0.99575,0.19852
141,0.99392,0.19852
142,0.99594,0
143,0.99738,0
144,0.99684,0.32508
145,0.99513,0.42271
146,0.99862,0.42271
147,0.99731,0.56234
148,0.99767,0.64745
149,0.99675,0.68814
150,0.99796,0.69315
151,0.99672,0.64745
152,0.99587,0.5004
153,0.9969,0.5004
154,0.99706,0.32508
155,0.99361,0.19852
156,0.89664,0
157,0.88552,0
158,0.79455,0
159,0.53936,0
160,0.41826,0
161,0.42137,0.32508
162,0.30987,0.32508
163,0.58635,0.19852
164,0.60997,0
165,0.5935,0
166,0.66632,0
167,0.7786,0
168,0.79937,0
169,0.80627,0
