Time (s),Order,Entropy
1,0.23413,0.56234
2,0.92917,0.5004
3,0.96853,0.67301
4,0.91805,0.42271
5,0.97625,1.16552
6,0.96654,1.10974
7,0.99161,0.42271
8,0.95124,0.67301
9,0.96489,0.32508
10,0.96626,0.32508
11,0.98254,1.34515
12,0.9881,0.85569
13,0.97036,0.68744
14,0.93924,0.84511
15,0.87814,0.32508
16,0.81242,0.68744
17,0.95162,1.02965
18,0.96049,1.16828
19,0.95283,0.98194
20,0.9459,1.03972
21,0.98112,0.56234
22,0.9396,0.32508
23,0.97629,0.73059
24,0.95736,1.16112
25,0.99365,0.61287
26,0.91432,0.56234
27,0.9894,0.74603
28,0.98134,0.67301
29,0.97749,0.95027
30,0.97487,0.68814
31,0.88539,0
32,0.61207,0
33,0.66131,0.42271
34,0.79471,0
35,0.9291,0.69315
36,0.95154,0.19852
37,0.87344,0.61287
38,0.90201,0.96726
39,0.97974,0.82372
40,0.97974,0.82372
